Year,drugsmedia,unemploy,approval,rwr86,ghwb89
Jan-77,1,7.5,66,0,0
Feb-77,7,7.6,71,0,0
Mar-77,11,7.4,72.3,0,0
Apr-77,4,7.2,65,0,0
May-77,6,7,65,0,0
Jun-77,4,7.2,63,0,0
Jul-77,9,6.9,64.5,0,0
Aug-77,15,7,63,0,0
Sep-77,5,6.8,54,0,0
Oct-77,12,6.8,54.8,0,0
Nov-77,6,6.8,55,0,0
Dec-77,17,6.4,57,0,0
Jan-78,5,6.4,53.5,0,0
Feb-78,22,6.3,48.5,0,0
Mar-78,7,6.3,50,0,0
Apr-78,18,6.1,44,0,0
May-78,13,6,42,0,0
Jun-78,9,5.9,43,0,0
Jul-78,24,6.2,40,0,0
Aug-78,12,5.9,40.7,0,0
Sep-78,7,6,45,0,0
Oct-78,4,5.8,49,0,0
Nov-78,5,5.9,52,0,0
Dec-78,8,6,50,0,0
Jan-79,3,5.9,46.5,0,0
Feb-79,3,5.9,39.5,0,0
Mar-79,1,5.8,42.7,0,0
Apr-79,8,5.8,40,0,0
May-79,8,5.6,34.5,0,0
Jun-79,3,5.7,29,0,0
Jul-79,2,5.7,29,0,0
Aug-79,4,6,32,0,0
Sep-79,23,5.9,30,0,0
Oct-79,6,6,31,0,0
Nov-79,4,5.9,35,0,0
Dec-79,4,6,54,0,0
Jan-80,19,6.3,57,0,0
Feb-80,5,6.3,66,0,0
Mar-80,3,6.3,44.7,0,0
Apr-80,5,6.9,39,0,0
May-80,15,7.5,39.7,0,0
Jun-80,15,7.6,32,0,0
Jul-80,2,7.8,33,0,0
Aug-80,7,7.7,32,0,0
Sep-80,11,7.5,37,0,0
Oct-80,4,7.5,34,0,0
Nov-80,3,7.5,31,0,0
Dec-80,10,7.2,34,0,0
Jan-81,2,7.5,51,0,0
Feb-81,13,7.4,55,0,0
Mar-81,9,7.4,60,0,0
Apr-81,8,7.2,67,0,0
May-81,6,7.5,68,0,0
Jun-81,7,7.5,59,0,0
Jul-81,8,7.2,58,0,0
Aug-81,10,7.4,60,0,0
Sep-81,13,7.6,52,0,0
Oct-81,5,7.9,56,0,0
Nov-81,3,8.3,52,0,0
Dec-81,3,8.5,49,0,0
Jan-82,5,8.6,48,0,0
Feb-82,15,8.9,47,0,0
Mar-82,13,9,46,0,0
Apr-82,5,9.3,44,0,0
May-82,8,9.4,44,0,0
Jun-82,14,9.6,45,0,0
Jul-82,39,9.8,42,0,0
Aug-82,15,9.8,41,0,0
Sep-82,4,10.1,42,0,0
Oct-82,35,10.4,42,0,0
Nov-82,29,10.8,43,0,0
Dec-82,16,10.8,41,0,0
Jan-83,17,10.4,37,0,0
Feb-83,15,10.4,40,0,0
Mar-83,20,10.3,41,0,0
Apr-83,11,10.2,42,0,0
May-83,23,10.1,44.5,0,0
Jun-83,26,10.1,44.5,0,0
Jul-83,18,9.4,43,0,0
Aug-83,20,9.5,43,0,0
Sep-83,14,9.2,47,0,0
Oct-83,27,8.8,47,0,0
Nov-83,14,8.5,53,0,0
Dec-83,14,8.3,54,0,0
Jan-84,18,8,53.5,0,0
Feb-84,12,7.8,55,0,0
Mar-84,22,7.8,54,0,0
Apr-84,28,7.7,54,0,0
May-84,28,7.4,53,0,0
Jun-84,20,7.2,54,0,0
