Country,COWAlpha,COW,WorldBank,Amnesty.1995,StateDept.1995
United States,USA,2,USA,1,
Canada,CAN,20,CAN,,1
Bahamas,BHM,31,BHS,1,1
Cuba,CUB,40,CUB,4,3
Haiti,HAI,41,HTI,2,3
Dominican Republic,DOM,42,DOM,2,2
Jamaica,JAM,51,JAM,3,3
Trinidad and Tobago,TRI,52,TTO,2,1
Barbados,BAR,53,BRB,,1
Grenada,GRN,55,GRD,1,1
St. Lucia,SLU,56,LCA,1,1
St. Vincent and the Grenadines,SVG,57,VCT,1,1
Mexico,MEX,70,MEX,4,4
Belize,BLZ,80,BLZ,1,1
Guatemala,GUA,90,GTM,4,5
Honduras,HON,91,HND,2,3
El Salvador,SAL,92,SLV,2,3
Nicaragua,NIC,93,NIC,3,3
Costa Rica,COS,94,CRI,2,1
Panama,PAN,95,PAN,2,2
Colombia,COL,100,COL,4,5
Venezuela,VEN,101,VEN,4,3
Guyana,GUY,110,GUY,1,2
Suriname,SUR,115,SUR,,2
Ecuador,ECU,130,ECU,3,2
Peru,PER,135,PER,4,4
Brazil,BRA,140,BRA,4,4
Bolivia,BOL,145,BOL,2,2
Paraguay,PAR,150,PRY,3,2
Chile,CHL,155,CHL,2,2
Argentina,ARG,160,ARG,2,2
Uruguay,URU,165,URY,2,2
United Kingdom,UKG,200,GBR,1,1
Ireland,IRE,205,IRL,,1
Netherlands,NTH,210,NTH,1,1
Belgium,BEL,211,BEL,,1
Luxembourg,LUX,212,LUX,1,1
France,FRN,220,FRA,2,2
Switzerland,SWZ,225,CHE,1,1
Spain,SPN,230,ESP,2,2
Portugal,POR,235,PRT,1,1
Germany,GMY,255,DEU***,2,2
Poland,POL,290,POL,1,1
Austria,AUS,305,AUT,1,1
Hungary,HUN,310,HUN,1,2
Czech Republic,CZR,316,CZE,2,1
Slovakia,SLO,317,SVK,,1
Italy,ITA,325,ITA,2,2
Malta,MLT,338,MLT,,1
Albania,ALB,339,ALB,3,2
Macedonia,MAC,343,MKD,,1
Croatia,CRO,344,HRV,5,5
Yugoslavia,YUG,345,YUG,4,5
Bosnia and Herzegovina,BOS,346,BIH,5,5
Greece,GRC,350,GRC,,2
Cyprus,CYP,352,CYP,2,2
Bulgaria,BUL,355,BGR,2,3
Moldova,MLD,359,MDA,2,1
Romania,ROM,360,ROM,2,2
Russia,RUS,365,RUS,4,5
Estonia,EST,366,EST,1,1
Latvia,LAT,367,LVA,2,2
Lithuania,LIT,368,LTU,1,1
Ukraine,UKR,369,UKR,2,2
Belarus,BLR,370,BLR,2,2
Armenia,ARM,371,ARM,2,2
Georgia,GRG,372,GEO,3,3
Azerbaijan,AZE,373,AZE,2,4
Finland ,FIN,375,FIN,,1
Sweden,SWD,380,SWE,,1
Norway,NOR,385,NOR,,1
Denmark,DEN,390,DNK,1,1
Iceland,ICE,395,ISL,,1
Cape Verde,CAP,402,CPV,,1
Sao Tome and Principe,STP,403,STP,,1
Guinea-Bissau,GNB,404,GNB,,2
Equatorial Guinea,EQG,411,GNQ,3,4
Gambia,GAM,420,GMB,2,3
Mali,MLI,432,MLI,3,1
Senegal,SEN,433,SEN,4,3
Benin,BEN,434,BEN,,2
